	count	mean_w	std_1
0	262	257.305343511	19.1355646315
1	262	275.236641221	20.5877386144
2	262	280.561068702	20.7772103656
3	262	290.347328244	21.2774138628
4	262	293.996183206	21.2801118518
5	262	296.145038168	21.286246818
6	262	298.358778626	21.3459049898
7	262	301.381679389	21.5076826609
8	262	304.679389313	21.6285796777
9	262	309.133587786	22.1049958894
10	262	309.874045802	22.1839746308
11	262	312.70610687	22.197710639
12	262	314.141221374	22.2487491921
13	262	314.816793893	22.2522349628
14	262	316.076335878	22.2374603461
15	262	318.41221374	22.2700453989
16	262	324.477099237	22.5218560432
17	262	332.942748092	22.9233348411
18	262	333.916030534	22.9101939626
19	262	336.267175573	22.8934185915
20	262	340.919847328	23.1733586822
21	262	341.812977099	23.2097612273
22	262	339.595419847	23.0521340015
23	262	341.86259542	23.1142667208
24	262	343.049618321	23.1328424875
25	262	345.36259542	23.2921622991
26	262	347.606870229	23.2973106246
27	262	348.79389313	23.3367340025
28	262	351.450381679	23.41246589
29	262	357.099236641	23.4700146412
30	262	359.839694656	23.5169784803
31	262	360.496183206	23.5113695332
32	262	362.908396947	23.4694209559
33	262	364.152671756	23.465897105
34	262	366.477099237	23.5114018349
35	262	368.351145038	23.4990728355
36	262	370.755725191	23.4876471262
37	262	372.320610687	23.4811600592
38	262	376.515267176	23.5240732475
39	262	379.908396947	23.724160103
40	262	380.835877863	23.7274090038
41	262	383.797709924	23.6476517647
42	262	386.519083969	23.6074515619
43	261	388.957854406	23.6486390214
44	261	391.793103448	23.7652139453
45	261	395.885057471	23.9904516544
46	261	399.770114943	24.0843016081
47	261	400.620689655	24.1187501577
48	261	401.574712644	24.0706757871
49	261	403.509578544	24.0871004051
50	261	404.91954023	24.0922058803
51	261	405.793103448	24.111325955
52	261	407.049808429	24.081143024
53	261	409.363984674	24.2239594723
54	261	411.329501916	24.3352989234
55	261	413.75862069	24.3573267466
56	261	417.946360153	24.4804538525
57	261	422.279693487	24.5503982446
58	261	424.670498084	24.6605458935
59	261	425.356321839	24.7206156821
60	261	436.398467433	25.1727425926
61	261	437.099616858	25.1621225455
62	261	439.800766284	25.2332530451
63	261	441.24137931	25.2717513743
64	261	441.180076628	25.2940538871
65	261	442.865900383	25.2665805548
66	261	439.908045977	24.9142377458
67	261	443.30651341	24.9661885943
68	261	444.521072797	24.9878977881
69	261	446.666666667	24.9804114239
70	261	448.91954023	25.019432857
71	261	449.498084291	24.9987459895
72	261	460.245210728	26.5840309775
73	261	463.432950192	26.7270939128
74	261	463.53256705	26.7831631344
75	261	465.789272031	26.8335997949
76	261	467.973180077	26.798767851
77	261	469.329501916	26.7969176603
78	261	469.969348659	26.7988022029
79	261	471.153256705	26.8103797322
80	261	472.570881226	26.8176209108
81	261	473.528735632	26.8105988106
82	261	475.283524904	26.7954524503
83	261	475.689655172	26.7926961793
84	261	478.249042146	26.835272352
85	261	480.567049808	26.847821373
86	261	480.796934866	26.8260819231
87	261	482.425287356	26.8955938905
88	261	483.536398467	26.8885987341
89	261	485.049808429	26.8637644119
90	261	485.973180077	26.874433986
91	261	487.195402299	26.8594570088
92	261	489.08045977	27.0078116082
