	count	mean_w	std_1
-477	11	26.0	10.2069495042
-476	11	26.0	10.2069495042
-475	11	26.0909090909	10.1913105103
-474	11	26.6363636364	10.7011237535
-473	11	26.6363636364	10.7011237535
-472	11	26.6363636364	10.7011237535
-471	11	26.6363636364	10.7011237535
-470	11	26.7272727273	10.786431636
-469	11	26.7272727273	10.786431636
-468	11	26.7272727273	10.786431636
-467	11	26.7272727273	10.786431636
-466	11	26.7272727273	10.786431636
-465	11	26.8181818182	10.7794570464
-464	11	27.4545454545	10.7520515052
-463	12	25.5	10.0079513842
-462	12	25.5	10.0079513842
-461	12	25.5	10.0079513842
-460	12	25.5833333333	10.0855870259
-459	12	25.5833333333	10.0855870259
-458	12	25.5833333333	10.0855870259
-457	12	25.5833333333	10.0855870259
-456	12	25.5833333333	10.0855870259
-455	13	24.4615384615	9.34496668624
-454	14	23.2857142857	8.7312930776
-453	14	23.2857142857	8.7312930776
-452	15	22.2666666667	8.19202089531
-451	15	23.0	8.25486869325
-450	16	22.0	7.7862057512
-449	17	21.2941176471	7.34785117943
-448	17	21.2941176471	7.35235291765
-447	17	21.2941176471	7.35235291765
-446	18	21.1111111111	6.93428014316
-445	18	21.1111111111	6.93428014316
-444	18	21.0555555556	6.94020785802
-443	18	22.7222222222	7.44074876563
-442	18	23.6666666667	7.38263286192
-441	18	23.6666666667	7.38263286192
-440	18	23.6666666667	7.37997644221
-439	18	23.5555555556	7.38848345244
-438	18	23.5555555556	7.38848345244
-437	18	23.6111111111	7.41185188016
-436	19	22.9473684211	7.04225910898
-435	19	22.9473684211	7.04225910898
-434	19	23.0	7.03666255288
-433	19	23.0526315789	7.03062377516
-432	19	23.0526315789	7.03062377516
-431	19	23.0526315789	7.03062377516
-430	19	22.3157894737	6.85098389296
-429	19	22.3157894737	6.85098389296
-428	19	22.3684210526	6.8433647064
-427	19	23.4736842105	6.78248881378
-426	19	23.6842105263	6.81418053217
-425	19	23.6842105263	6.81418053217
-424	20	23.65	6.47109971944
-423	20	23.65	6.47109971944
-422	20	23.4	6.46504772645
-421	20	23.45	6.46182107296
-420	20	23.45	6.46182107296
-419	22	22.7727272727	5.90873292289
-418	22	22.7727272727	5.90873292289
-417	22	22.7727272727	5.90873292289
-416	23	23.0	5.65056225122
-415	23	23.0	5.65056225122
-414	23	22.8695652174	5.64016663191
-413	23	22.9130434783	5.65577568427
-412	23	23.0434782609	5.64303000102
-411	23	23.0434782609	5.64303000102
-410	23	23.0434782609	5.64303000102
-409	23	23.0869565217	5.63862773213
-408	23	23.0869565217	5.63862773213
-407	24	22.5833333333	5.59920952841
-406	24	22.625	5.5956156815
-405	24	22.5833333333	5.58106161875
-404	24	22.625	5.57550689838
-403	24	22.75	5.61450308821
-402	25	22.76	5.47852778278
-401	25	22.76	5.47852778278
-400	25	22.76	5.47852778278
-399	26	22.1923076923	5.29412424101
-398	28	21.2142857143	4.95678604452
-397	28	22.0	4.91407653055
-396	29	21.4482758621	4.7766844982
-395	29	21.4482758621	4.7766844982
-394	29	21.4482758621	4.7766844982
-393	29	21.5517241379	4.77049279371
-392	29	21.5517241379	4.77049279371
-391	30	21.3666666667	4.63581344356
-390	30	21.2333333333	4.63611096763
-389	30	21.5333333333	4.61699343215
-388	31	21.5161290323	4.48051239575
-387	31	21.5806451613	4.52847008121
-386	31	22.0	4.54298466621
-385	31	22.0322580645	4.54380918097
-384	31	22.1612903226	4.53803443174
-383	32	21.6875	4.4344321517
-382	33	22.5757575758	4.41030780874
-381	33	22.6363636364	4.40875896907
-380	33	22.6363636364	4.40875896907
-379	33	22.7272727273	4.4245083461
-378	33	22.8484848485	4.41397599833
-377	33	22.8484848485	4.41397599833
-376	33	22.1212121212	4.46763563151
-375	33	22.3939393939	4.43363081294
-374	35	22.1714285714	4.1841007014
-373	35	22.2571428571	4.17784127787
-372	35	23.0	4.14992153414
-371	36	22.8611111111	4.0353896328
-370	37	23.3513513514	4.05428928246
-369	37	23.6756756757	4.0243355175
-368	37	23.7567567568	4.01954784435
-367	37	24.6216216216	4.00644213806
-366	37	24.8108108108	4.01364748363
-365	38	24.4473684211	3.92346723176
-364	38	24.5	3.91803467731
-363	39	24.0256410256	3.86609316437
-362	39	24.1025641026	3.86789178643
-361	39	24.2564102564	3.85809661782
-360	39	24.358974359	3.85997964856
-359	39	24.3846153846	3.8531784704
-358	39	24.3846153846	3.8531784704
-357	39	24.5384615385	3.83795347123
-356	39	24.4615384615	3.85636969858
-355	40	23.95	3.79134473133
-354	43	22.4418604651	3.62718637248
-353	43	23.2325581395	3.60214609486
-352	44	22.8636363636	3.53861078514
-351	44	23.0	3.56189606728
-350	44	23.0	3.56189606728
-349	44	23.1590909091	3.54597457833
-348	45	22.8	3.49467126819
-347	45	22.8888888889	3.51637184205
-346	45	22.9333333333	3.50085126733
-345	45	22.8444444444	3.49891116621
-344	45	23.1111111111	3.4693786336
-343	45	23.0888888889	3.47135787222
-342	45	23.2888888889	3.45484906221
-341	46	22.8260869565	3.38086464483
-340	46	22.8913043478	3.38456688598
-339	47	23.8723404255	3.43131589763
-338	47	23.914893617	3.43767419537
-337	47	23.8936170213	3.43974619389
-336	47	23.829787234	3.44244593208
-335	47	23.914893617	3.44788473508
-334	47	23.8936170213	3.43584441824
-333	47	23.9361702128	3.43532881213
-332	47	23.9574468085	3.44078458541
-331	47	23.9574468085	3.44078458541
-330	47	23.9574468085	3.44078458541
-329	47	24.0212765957	3.44340920304
-328	47	24.3617021277	3.42494866933
-327	47	24.4680851064	3.42419576219
-326	47	24.7446808511	3.42292809032
-325	47	24.914893617	3.42149025249
-324	47	24.8936170213	3.42100412665
-323	47	25.0212765957	3.43278115506
-322	47	25.0425531915	3.43378726123
-321	47	25.085106383	3.43269228251
-320	49	24.2040816327	3.33541341457
-319	49	24.2857142857	3.34254679064
-318	49	24.2857142857	3.34254679064
-317	49	24.2653061224	3.34175494525
-316	49	24.1428571429	3.33069623577
-315	50	24.16	3.26344753228
-314	51	23.8039215686	3.20343193513
-313	51	23.9019607843	3.21067519647
-312	51	23.9607843137	3.20672831676
-311	51	24.0	3.2084447396
-310	51	24.0	3.2084447396
-309	52	23.8269230769	3.15053697377
-308	52	23.7884615385	3.14989244693
-307	53	23.6981132075	3.10117081987
-306	53	23.8867924528	3.10129665019
-305	53	23.8867924528	3.10129665019
-304	53	23.8113207547	3.08021173897
-303	53	23.8113207547	3.08021173897
-302	53	23.9056603774	3.08000058325
-301	53	23.8867924528	3.08240245884
-300	53	23.8679245283	3.08715181673
-299	53	24.1698113208	3.11065119129
-298	53	24.1509433962	3.10932818947
-297	54	24.3518518519	3.03395153553
-296	54	24.3703703704	3.03212433532
-295	54	24.4074074074	3.03122793274
-294	54	24.3518518519	3.03935948595
-293	55	24.0545454545	3.00744510313
-292	57	23.4561403509	2.92963320852
-291	57	23.4561403509	2.92963320852
-290	58	23.8275862069	2.90191937766
-289	58	23.8793103448	2.91179855631
-288	58	23.8793103448	2.91179855631
-287	58	24.0862068966	2.90235155954
-286	58	24.0689655172	2.90168214444
-285	58	24.1034482759	2.90197688582
-284	58	24.1551724138	2.8868353512
-283	58	24.1896551724	2.88344429391
-282	59	23.7966101695	2.86770237758
-281	59	23.813559322	2.86063128077
-280	60	23.5833333333	2.88021613936
-279	60	23.6166666667	2.87901933895
-278	60	23.6166666667	2.87901933895
-277	60	23.6666666667	2.88554420316
-276	60	23.7166666667	2.88215742979
-275	60	23.75	2.87966031032
-274	62	24.4677419355	3.10470529976
-273	62	24.5	3.10317471051
-272	62	24.564516129	3.09616888254
-271	62	24.5967741935	3.09555725362
-270	63	24.2063492063	3.07094461603
-269	64	24.3125	3.00733849465
-268	64	24.328125	3.00718836933
-267	65	24.0923076923	2.96993938336
-266	65	24.5692307692	2.96477470531
