	count	mean_w	std_1
0	275	389.996363636	33.6843580719
1	275	416.767272727	35.2855382806
2	275	404.069090909	27.7863776488
3	275	404.454545455	27.6795364421
4	275	408.796363636	27.9130854565
5	275	415.149090909	27.9146002823
6	275	418.967272727	28.029081188
7	275	420.883636364	28.0812921444
8	275	426.189090909	28.0215970759
9	275	430.338181818	28.4073421421
10	275	431.909090909	28.3740118501
11	275	434.4	28.3879943221
12	275	437.447272727	28.7475694101
13	275	441.563636364	28.7437682895
14	275	443.436363636	29.13527738
15	275	445.796363636	29.0530806338
16	275	447.509090909	29.053322309
17	275	446.207272727	28.5991241636
18	275	447.407272727	28.6225623148
19	275	448.16	28.4825405397
20	275	448.487272727	28.4826895835
21	275	450.374545455	28.4471090779
22	275	451.072727273	28.4733541827
23	275	451.269090909	28.4645187319
24	275	455.483636364	28.3923643381
25	275	459.567272727	28.4579330759
26	275	464.381818182	28.5999579837
27	275	465.701818182	28.7074841977
28	275	465.043636364	28.5642765735
29	275	466.625454545	28.6329443117
30	275	468.141818182	28.6397497953
31	275	471.032727273	28.5914360442
32	275	477.589090909	29.0121720256
33	274	486.916058394	29.2823663779
34	274	488.824817518	29.2493513211
35	274	489.437956204	29.2399933728
36	274	491.5	29.2974305377
37	274	492.821167883	29.3840245883
38	274	493.605839416	29.3671208741
39	273	496.80952381	29.3943579931
40	273	493.941391941	29.0593824568
41	273	494.597069597	29.0190024965
42	273	495.952380952	29.0308577582
43	273	497.311355311	28.9973196178
44	273	498.3003663	28.979528939
45	273	500.003663004	29.019194928
46	273	500.904761905	29.0439783122
47	273	501.886446886	29.0591536193
48	273	502.443223443	29.0580765592
49	273	504.322344322	29.0244951944
50	273	504.783882784	29.0395361478
51	273	507.025641026	29.0157039459
52	273	506.908424908	28.9898048393
53	273	506.531135531	29.0090451091
54	273	507.186813187	29.0024748999
55	273	508.0	28.7933273382
56	273	508.373626374	28.7529566906
57	273	508.67032967	28.7332317929
58	273	509.490842491	28.7151825436
59	273	509.835164835	28.7132196325
60	273	510.490842491	28.6925775883
61	273	511.534798535	28.6743730777
62	273	513.652014652	28.6453861799
63	273	514.824175824	28.5129696105
64	273	514.322344322	28.4934925193
65	273	516.135531136	28.5238123306
66	273	516.93040293	28.5400904057
67	273	519.728937729	28.6075593567
68	273	520.860805861	28.6058035972
69	273	523.597069597	28.6571857171
70	273	526.106227106	28.7659996231
71	273	528.010989011	28.7763470253
72	272	530.345588235	28.8461577727
73	272	530.492647059	28.8460788731
74	272	531.058823529	28.8198390279
75	272	531.430147059	28.7969590525
76	272	533.474264706	28.7465624024
77	272	535.459558824	28.7004023246
78	271	541.800738007	28.8365005571
79	271	543.32103321	28.8213470075
80	271	546.088560886	28.6104758066
81	271	547.42804428	28.6577201127
82	271	549.948339483	28.6710160218
83	271	550.47601476	28.6610217833
84	271	551.040590406	28.6402417739
85	271	551.0	28.5690577708
86	271	551.664206642	28.5593781754
87	271	557.32103321	28.5625326866
88	271	566.789667897	29.9907527571
89	271	568.328413284	30.0986923335
90	271	568.439114391	30.0807856622
91	271	569.667896679	30.2342976211
92	271	570.210332103	30.2347489469
93	271	572.236162362	30.1824815181
94	271	573.453874539	30.2043016534
95	271	574.250922509	30.2002778913
96	271	578.0	30.3564483068
97	270	578.644444444	30.4506380637
98	270	575.307407407	30.1826450515
99	270	576.5	30.2570750286
100	270	578.185185185	30.4771158117
101	270	576.237037037	29.9360199004
102	270	579.925925926	30.0150704536
103	270	581.707407407	30.0176059874
104	269	583.05204461	30.1176306517
105	269	584.12267658	30.2137704841
106	268	587.332089552	30.3395037222
107	268	588.947761194	30.4960065961
108	268	589.432835821	30.501579094
109	268	589.936567164	30.5235164547
110	267	591.996254682	30.6541921052
111	267	593.262172285	30.7469960372
112	267	634.546816479	51.3260538624
113	267	635.782771536	51.3466272088
114	266	641.639097744	51.6081143392
115	266	641.112781955	51.6046486188
116	266	641.259398496	51.6393328715
117	266	641.62406015	51.6297759962
118	266	642.77443609	51.6351296565
119	266	643.184210526	51.6212487871
120	266	644.172932331	51.6361909214
121	265	645.169811321	51.7043528096
122	265	649.471698113	51.7437630083
123	265	651.701886792	51.8488335053
124	264	658.981060606	52.9963368494
125	264	659.522727273	53.0002211829
126	264	650.75	52.1215427997
127	264	651.409090909	52.1086417577
128	264	652.784090909	52.0522568692
129	263	650.885931559	52.1626905271
130	263	653.022813688	52.1326524745
131	263	661.384030418	52.1671985026
132	263	662.992395437	52.1206675466
133	263	664.946768061	52.1223341654
134	262	665.645038168	52.3200691373
135	261	667.444444444	52.5833539586
136	260	667.1	52.8260668447
137	259	672.115830116	52.9483177837
138	259	673.181467181	52.9551978339
139	258	675.445736434	53.1853720062
140	258	677.612403101	53.1590132824
141	258	678.170542636	53.1668406478
142	257	679.898832685	53.3891742782
143	257	681.40077821	53.3861217841
144	257	682.073929961	53.3374707446
145	257	682.848249027	53.3495556056
146	256	683.33203125	53.5428785212
147	256	683.56640625	53.5479745947
148	255	685.901960784	53.7018735571
149	255	687.42745098	53.6801155008
150	254	688.090551181	53.9108767821
151	254	688.61023622	53.9065358379
152	254	689.480314961	53.8939547733
153	253	689.837944664	54.1134124633
154	253	693.367588933	54.1126960147
155	253	694.241106719	54.1069620271
156	253	695.126482213	54.1080371507
157	253	695.723320158	54.1200030121
158	252	695.869047619	54.3399388014
159	252	696.317460317	54.3456220475
160	251	699.28685259	54.526699969
161	251	701.916334661	54.5034888672
162	251	703.239043825	54.5007342554
163	251	703.517928287	54.5066967879
164	251	705.984063745	54.5473698062
165	250	707.032	54.7981021194
166	247	665.631578947	33.4545393893
167	247	671.344129555	33.4395481363
168	247	669.732793522	33.4450054201
169	246	671.085365854	33.3027280787
170	246	672.304878049	33.5804525234
171	246	679.845528455	34.4663139637
172	246	681.62601626	34.4497083548
173	245	679.583673469	34.5381411964
174	245	681.183673469	34.680821742
175	245	682.12244898	34.7795625524
176	245	682.546938776	34.7362496197
177	245	682.742857143	34.5918903195
178	245	683.436734694	34.6582165592
179	244	693.741803279	35.0899184997
180	244	695.106557377	35.0842076489
181	244	696.192622951	35.1414096585
182	244	696.700819672	35.1700232151
183	243	695.934156379	35.2468792683
184	241	691.315352697	35.1380866293
185	238	696.5	35.621090137
186	237	687.47257384	33.7854549604
187	237	688.156118143	33.7954525262
188	237	688.658227848	33.7943860068
189	237	689.970464135	33.8661380169
190	235	693.042553191	34.1039929408
191	235	693.787234043	34.0887648248
192	235	694.485106383	34.1077634706
193	235	696.472340426	34.2305907589
194	235	696.527659574	34.2476647102
195	235	696.10212766	34.2009937731
196	235	696.004255319	34.1474464576
197	235	696.65106383	34.1296580498
198	235	697.263829787	34.1413761181
199	235	696.914893617	34.2415593161
200	235	697.327659574	34.2425427283
201	235	697.927659574	34.2372119821
202	234	696.012820513	34.3407770037
203	234	697.05982906	34.3311555994
204	234	697.166666667	34.3271488915
205	234	697.538461538	34.4123680322
206	233	699.91416309	34.4882062092
207	232	698.74137931	34.6145669202
208	230	695.369565217	34.6460810478
209	230	696.073913043	34.6956021164
210	229	698.72489083	34.809309048
211	229	700.995633188	34.9001742055
212	228	703.074561404	35.0427376811
213	228	707.986842105	36.8793705168
214	228	707.947368421	36.8415852922
215	228	708.815789474	36.8432946575
216	228	716.921052632	37.476036236
217	227	718.828193833	37.7579778616
218	226	716.371681416	37.7956303184
219	225	719.675555556	38.0648494572
220	225	722.973333333	37.9989086727
221	225	724.391111111	38.1257671227
222	225	725.026666667	38.1591726475
223	225	725.506666667	38.1667707006
224	225	725.746666667	38.189205385
225	223	724.556053812	38.2906972336
226	223	724.452914798	38.3160442013
227	222	722.918918919	38.4284907351
228	222	723.459459459	38.4169095106
229	222	724.225225225	38.3866413881
230	222	724.711711712	38.3984964599
231	222	725.540540541	38.4623153637
232	222	725.927927928	38.4930771389
233	222	726.324324324	38.4357379615
234	222	727.094594595	38.4449254239
235	220	727.063636364	38.7925657988
236	220	727.072727273	38.7952707841
237	220	728.636363636	38.8412808725
238	220	729.168181818	38.8055478421
239	220	728.645454545	38.7552988772
240	219	731.378995434	38.9338857843
241	219	732.054794521	38.9282310781
242	219	733.383561644	38.9882947874
243	218	734.449541284	39.1576263911
244	217	734.612903226	39.3543285273
245	217	734.474654378	39.3644655445
246	217	735.774193548	39.3892499648
247	217	736.612903226	39.4473766652
248	217	737.995391705	39.4056492494
249	217	739.437788018	39.4188251315
250	217	739.838709677	39.4142546952
251	217	742.373271889	39.401137341
252	216	744.509259259	39.9410067724
253	216	742.444444444	39.5609058818
254	216	760.648148148	44.2274534791
255	216	761.726851852	43.4062532172
256	215	758.065116279	43.4644426166
257	215	764.069767442	45.990874886
258	214	765.46728972	46.2223930038
259	213	765.854460094	46.4410956735
260	213	766.61971831	46.4032588076
261	213	767.061032864	46.4082108562
262	213	767.530516432	46.4636515494
263	212	769.146226415	46.7158210349
264	211	769.772511848	46.9188789556
265	211	770.578199052	46.8895313797
266	211	770.336492891	46.9203306165
267	211	771.658767773	46.9378239711
268	209	777.870813397	47.2598235869
269	208	773.759615385	47.2741786284
270	208	774.110576923	47.2685506263
271	207	779.009661836	47.3651945744
272	207	780.724637681	47.3751456001
273	207	783.178743961	47.4734839891
274	206	775.936893204	46.7978204367
275	206	778.334951456	46.9629178154
276	206	788.063106796	50.0587673062
277	206	791.077669903	49.9942882736
278	205	783.634146341	49.6497843848
279	205	783.634146341	49.6456765337
280	204	783.147058824	49.9007920415
281	204	783.617647059	49.9239347459
282	203	782.162561576	50.1404420899
283	203	782.236453202	50.1415011473
284	203	783.014778325	50.1127969639
285	202	784.915841584	50.3892252883
286	202	787.336633663	50.4184023695
287	202	787.767326733	50.4014830509
288	202	792.465346535	50.6861195163
289	201	798.039800995	51.4890341611
290	201	798.885572139	51.4760052222
291	201	802.069651741	51.6068685469
292	201	803.393034826	51.6773793942
293	200	806.58	51.8798652668
294	200	808.51	52.1012133415
295	200	809.2	52.1029918411
296	200	810.27	52.0671057676
297	199	809.733668342	52.3358484749
298	199	813.698492462	52.3021475814
299	199	810.432160804	52.3979243954
300	199	810.633165829	52.3851404453
301	199	811.979899497	52.4474816947
302	199	813.32160804	52.549846398
303	199	814.306532663	52.5249316109
304	199	815.939698492	52.5703174245
305	199	816.462311558	52.6052936947
306	199	816.814070352	52.6147779637
307	198	821.227272727	52.8003063168
308	198	822.323232323	52.7644972812
309	198	820.121212121	51.4442855225
310	197	823.106598985	51.6396759962
311	197	823.588832487	51.6378827392
312	196	826.321428571	51.8620273257
313	195	826.482051282	52.096744702
314	195	827.958974359	52.1133470711
315	195	829.205128205	52.1718646153
316	195	829.620512821	52.2357589723
317	193	809.896373057	48.7788348383
318	193	810.585492228	48.7706907841
319	193	811.321243523	48.7563240669
320	193	810.989637306	48.7581483102
321	193	814.808290155	48.8642355119
322	193	814.792746114	48.8664582881
323	193	816.652849741	48.8713796428
324	193	820.404145078	49.0384926431
325	193	821.150259067	49.0564084842
326	193	821.994818653	49.4369116212
327	193	823.248704663	49.4845936881
328	193	822.585492228	49.4580448298
329	192	823.286458333	49.6222310774
330	192	823.609375	49.6331458094
